wyscout_name,fm_name,fm_id,fm_nation,match_score,logo_url
Universidad Católica,Universidad Católica,403,Chile,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_403.png
Universidad de Chile,Universidad de Chile,404,Chile,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_404.png
Unión Española,Unión Española,120064,Chile,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_120064.png
Unión La Calera,Unión La Calera,5250019,Chile,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_5250019.png
Urawa Reds,Urawa Reds,1195,Japan,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1195.png
V-Varen Nagasaki,V-Varen Nagasaki,786559,Japan,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_786559.png
Vasco da Gama,Vasco Da Gama,2000339024,,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2000339024.png
Vissel Kobe,Vissel Kobe,106844,Japan,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_106844.png
West Ham United,West Ham United,735,England,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_735.png
Wieczysta Kraków,Wieczysta Kraków,2000028546,Poland,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2000028546.png
Wolverhampton Wanderers,Wolverhampton Wanderers,740,England,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_740.png
Wuhan Three Towns,Wuhan Three Towns,23487243,The People's Republic of China,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_23487243.png
Yunnan Yukun,Yunnan Yukun,2000319417,The People's Republic of China,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2000319417.png
Zamora,Zamora,2000425039,,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2000425039.png
Ñublense,Ñublense,130798,Chile,100,https://sortitoutsi.b-cdn.net/uploads/logo/logo_130798.png
ABC,ABC Futebol Clube,107205,Brazil,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_107205.png
ADT,Asociación Deportiva Tarma,5290626,Peru,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_5290626.png
AEL,AE Limassol,449,Cyprus,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_449.png
APOEL,APOEL Nicosia,451,Cyprus,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_451.png
AZ,AZ Alkmaar,991,The Netherlands,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_991.png
Academia Puerto Cabello,Academia Puerto Cabello F.C.,86047464,Venezuela,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_86047464.png
Académica,Associação Académica de Coimbra,2393,Portugal,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2393.png
Agropecuario,Club Agropecuario Argentino de Carlos Casares,14064697,Argentina,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_14064697.png
Ajman,Ajman Club,7880311,The United Arab Emirates,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_7880311.png
Alanyaspor,Corendon Alanyaspor,458718,Türkiye,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_458718.png
Albacete,Albacete Balompié,1660,Spain,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1660.png
Albion,Burton Albion,4001706,England,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_4001706.png
Aldosivi,Club Atlético Aldosivi,108510,Argentina,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_108510.png
Alianza,Club Alianza Lima,117754,Peru,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_117754.png
Alianza Atlético,Club Alianza Atlético Sullana,308104,Peru,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_308104.png
All Boys,Club Atlético All Boys,102490,Argentina,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_102490.png
Alverca,Futebol Clube de Alverca,2391,Portugal,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2391.png
Amarante,Amarante Futebol Clube,109042,Portugal,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_109042.png
Amazonas,Amazonas Futebol Clube SAF,19398655,Brazil,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_19398655.png
Amora,Amora Futebol Clube,2484,Portugal,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2484.png
América de Cali,América de Cali S.A.,417,Colombia,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_417.png
Anadia,Anadia Futebol Clube,2460,Portugal,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2460.png
Antequera,Antequera C.F.,814590,Spain,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_814590.png
Anyang,FC Anyang,66029603,The Republic of Korea,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_66029603.png
Anápolis,Anápolis Futebol Clube,301148,Brazil,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_301148.png
Apollon,GS Apollon Smyrnis,968,Greece,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_968.png
Arda,Arda 1924 Kardzhali,7506471,Bulgaria,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_7506471.png
Argentinos Juniors,Asociación Atlética Argentinos Juniors,78,Argentina,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_78.png
Argeș,ACS Campionii Fotbal Club Argeş,1502,Romania,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_1502.png
Aris,AS Aris Salonika,969,Greece,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_969.png
Athletico Paranaense,Clube Athlético Paranaense,107206,Brazil,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_107206.png
Atlanta,Club Atlético Atlanta,108517,Argentina,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_108517.png
Atlante,CF Atlante,102356,Mexico,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_102356.png
Atlético Bucaramanga,Club Atlético Bucaramanga S.A.,130802,Colombia,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_130802.png
Atlético CP,Atlético Clube de Portugal,2440,Portugal,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_2440.png
Atlético Huila,Club Deportivo Atlético Huila S.A.,130804,Colombia,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_130804.png
Atlético Mineiro,Clube Atlético Mineiro SAF,314,Brazil,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_314.png
Atlético Nacional,Atlético Nacional S.A.,427,Colombia,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_427.png
Atromitos,APS Atromitos Athens,129692,Greece,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_129692.png
Aucas,Sociedad Deportiva Aucas,308091,Ecuador,95,https://sortitoutsi.b-cdn.net/uploads/logo/logo_308091.png
